"","self.time","self.pct","total.time","total.pct","mem.total"
"""rayimage::render_clamp""",0.809,28.22,0.971,33.87,2762.7
"""to_linear""",0.511,17.82,0.511,17.82,2011.7
""".Call""",0.312,10.88,0.312,10.88,457.9
"""decode_if_needed""",0.268,9.35,0.858,29.93,2749.2
"""rayimg""",0.208,7.25,0.208,7.25,1626.4
"""aperm.default""",0.188,6.56,0.188,6.56,332.7
"""<Anonymous>""",0.174,6.07,2.864,99.9,8194.2
"""NextMethod""",0.17,5.93,0.17,5.93,294.9
"""array""",0.121,4.22,0.121,4.22,409.1
"""is.na""",0.075,2.62,0.075,2.62,171.1
"""system""",0.015,0.52,0.016,0.56,8.7
"""lazyLoadDBfetch""",0.007,0.24,0.007,0.24,6.8
"""list""",0.005,0.17,0.005,0.17,0.7
"""stopifnot""",0.001,0.03,0.002,0.07,0.4
"""grep""",0.001,0.03,0.001,0.03,0.9
"""proc.time""",0.001,0.03,0.001,0.03,19.6
"""which""",0.001,0.03,0.001,0.03,0
