key,phase,median,p95,samples
grid100k-1920-1080-2-4,environment_decode,0.008208,0.008208,1
grid100k-1920-1080-2-4,frame_allocate_clear,35.216042,35.216042,1
grid100k-1920-1080-2-4,lights_shadow_allocate,0.015458,0.015458,1
grid100k-1920-1080-2-4,shadow_alpha_allocate,0.001583,0.001583,1
grid100k-1920-1080-2-4,shader_setup_asset_decode,1.895125,1.895125,1
grid100k-1920-1080-2-4,model_setup,0.726709,0.726709,1
grid100k-1920-1080-2-4,bin_and_shadow_shader_allocate,6.814958,6.814958,1
grid100k-1920-1080-2-4,shadow_finalize,0.000583,0.000583,1
grid100k-1920-1080-2-4,indexed_main_transforms,0.00975,0.00975,1
grid100k-1920-1080-2-4,main_transform_setup,10.264709,10.264709,1
grid100k-1920-1080-2-4,main_bin_build,2.560708,2.560708,1
grid100k-1920-1080-2-4,count_main_bin_workers,4.0,4.0,1
grid100k-1920-1080-2-4,count_main_bin_scratch_bytes,16588800.0,16588800.0,1
grid100k-1920-1080-2-4,main_coverage_depth_shading,34.820208,34.820208,1
grid100k-1920-1080-2-4,lines,0.011,0.011,1
grid100k-1920-1080-2-4,count_fragment_capacity_bytes,33177600.0,33177600.0,1
grid100k-1920-1080-2-4,count_maximum_layers_per_sample,0.0,0.0,1
grid100k-1920-1080-2-4,count_transparent_touched_samples,0.0,0.0,1
grid100k-1920-1080-2-4,transparency_resolve,3.636459,3.636459,1
grid100k-1920-1080-2-4,depth_conversion,0.006708,0.006708,1
grid100k-1920-1080-2-4,remaining_output_setup,0.010292,0.010292,1
grid100k-1920-1080-2-4,count_outline_scratch_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_varying_payload_bytes,31309824.0,31309824.0,1
grid100k-1920-1080-2-4,count_auxiliary_matrix_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_environment_variant_requests,0.0,0.0,1
grid100k-1920-1080-2-4,count_environment_resize_variants,0.0,0.0,1
grid100k-1920-1080-2-4,count_environment_variant_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_texture_decodes,0.0,0.0,1
grid100k-1920-1080-2-4,count_texture_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_prepared_texture_hits,0.0,0.0,1
grid100k-1920-1080-2-4,count_prepared_texture_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_indexed_positions,0.0,0.0,1
grid100k-1920-1080-2-4,count_main_clip_transform_evaluations,301056.0,301056.0,1
grid100k-1920-1080-2-4,count_indexed_transform_payload_bytes,0.0,0.0,1
grid100k-1920-1080-2-4,count_input_triangles,100352.0,100352.0,1
grid100k-1920-1080-2-4,count_models,1.0,1.0,1
grid100k-1920-1080-2-4,count_materials,2.0,2.0,1
grid100k-1920-1080-2-4,count_main_tasks,2162.0,2162.0,1
grid100k-1920-1080-2-4,count_shadow_tasks,0.0,0.0,1
grid100k-1920-1080-2-4,count_main_active_blocks,138358.0,138358.0,1
grid100k-1920-1080-2-4,count_main_bin_references,717880.0,717880.0,1
grid100k-1920-1080-2-4,count_main_setup_count,100352.0,100352.0,1
grid100k-1920-1080-2-4,count_main_post_clip_triangles,100352.0,100352.0,1
grid100k-1920-1080-2-4,count_main_clipped_triangles,0.0,0.0,1
grid100k-1920-1080-2-4,count_main_culled_primitives,0.0,0.0,1
grid100k-1920-1080-2-4,count_main_setup_bin_capacity_bytes,25483496.0,25483496.0,1
grid100k-1920-1080-2-4,count_coverage_candidates,5945469.0,5945469.0,1
grid100k-1920-1080-2-4,count_covered_samples,2202389.0,2202389.0,1
grid100k-1920-1080-2-4,count_early_z_failures,853.0,853.0,1
grid100k-1920-1080-2-4,count_shader_calls,2201536.0,2201536.0,1
grid100k-1920-1080-2-4,count_transparent_fragments,0.0,0.0,1
grid100k-1920-1080-2-4,count_visibility_tiles,0.0,0.0,1
grid100k-1920-1080-2-4,count_visibility_fallbacks,0.0,0.0,1
grid100k-1920-1080-2-4,count_visibility_coverage_worker_ms,0.0,0.0,1
grid100k-1920-1080-2-4,count_visibility_shading_worker_ms,0.0,0.0,1
grid100k-1920-1080-2-4,native_output_assembly,8.967791,8.967791,1
grid100k-1920-1080-2-4,native_teardown,3.65225,3.65225,1
grid100k-1920-1080-2-4,native_total,108.620666,108.620666,1
grid100k-800-800-1-4,environment_decode,0.008833,0.008833,1
grid100k-800-800-1-4,frame_allocate_clear,2.565875,2.565875,1
grid100k-800-800-1-4,lights_shadow_allocate,0.00275,0.00275,1
grid100k-800-800-1-4,shadow_alpha_allocate,0.001292,0.001292,1
grid100k-800-800-1-4,shader_setup_asset_decode,2.137875,2.137875,1
grid100k-800-800-1-4,model_setup,0.680875,0.680875,1
grid100k-800-800-1-4,bin_and_shadow_shader_allocate,0.636166,0.636166,1
grid100k-800-800-1-4,shadow_finalize,0.000292,0.000292,1
grid100k-800-800-1-4,indexed_main_transforms,0.005125,0.005125,1
grid100k-800-800-1-4,main_transform_setup,7.687917,7.687917,1
grid100k-800-800-1-4,main_bin_build,0.983916,0.983916,1
grid100k-800-800-1-4,count_main_bin_workers,4.0,4.0,1
grid100k-800-800-1-4,count_main_bin_scratch_bytes,1280000.0,1280000.0,1
grid100k-800-800-1-4,main_coverage_depth_shading,7.976375,7.976375,1
grid100k-800-800-1-4,lines,0.013209,0.013209,1
grid100k-800-800-1-4,count_fragment_capacity_bytes,2560000.0,2560000.0,1
grid100k-800-800-1-4,count_maximum_layers_per_sample,0.0,0.0,1
grid100k-800-800-1-4,count_transparent_touched_samples,0.0,0.0,1
grid100k-800-800-1-4,transparency_resolve,0.342416,0.342416,1
grid100k-800-800-1-4,depth_conversion,0.004542,0.004542,1
grid100k-800-800-1-4,remaining_output_setup,0.003375,0.003375,1
grid100k-800-800-1-4,count_outline_scratch_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_varying_payload_bytes,31309824.0,31309824.0,1
grid100k-800-800-1-4,count_auxiliary_matrix_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_environment_variant_requests,0.0,0.0,1
grid100k-800-800-1-4,count_environment_resize_variants,0.0,0.0,1
grid100k-800-800-1-4,count_environment_variant_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_texture_decodes,0.0,0.0,1
grid100k-800-800-1-4,count_texture_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_prepared_texture_hits,0.0,0.0,1
grid100k-800-800-1-4,count_prepared_texture_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_indexed_positions,0.0,0.0,1
grid100k-800-800-1-4,count_main_clip_transform_evaluations,301056.0,301056.0,1
grid100k-800-800-1-4,count_indexed_transform_payload_bytes,0.0,0.0,1
grid100k-800-800-1-4,count_input_triangles,100352.0,100352.0,1
grid100k-800-800-1-4,count_models,1.0,1.0,1
grid100k-800-800-1-4,count_materials,2.0,2.0,1
grid100k-800-800-1-4,count_main_tasks,299.0,299.0,1
grid100k-800-800-1-4,count_shadow_tasks,0.0,0.0,1
grid100k-800-800-1-4,count_main_active_blocks,19131.0,19131.0,1
grid100k-800-800-1-4,count_main_bin_references,263188.0,263188.0,1
grid100k-800-800-1-4,count_main_setup_count,100352.0,100352.0,1
grid100k-800-800-1-4,count_main_post_clip_triangles,100352.0,100352.0,1
grid100k-800-800-1-4,count_main_clipped_triangles,0.0,0.0,1
grid100k-800-800-1-4,count_main_culled_primitives,0.0,0.0,1
grid100k-800-800-1-4,count_main_setup_bin_capacity_bytes,19837528.0,19837528.0,1
grid100k-800-800-1-4,count_coverage_candidates,1213846.0,1213846.0,1
grid100k-800-800-1-4,count_covered_samples,302128.0,302128.0,1
