"label","seconds","interval_ms"
"Validating Mesh",1.816,NA
"Pre-processing scene",1.817,0.99999999999989
"Pre-processed  scene",1.817,0
"Removed duplicate materials",1.818,1.00000000000011
"Processed scene bounds",1.818,0
"Processed texture filenames",1.819,0.99999999999989
"Processed materials",1.82,1.00000000000011
"Loaded environment maps",1.821,0.99999999999989
"Initialized buffers",1.823,2
"Initialized shadowmaps",1.823,0
"Initialized alpha buffers",1.823,0
"Initialized shaders",1.825,2
"Initialized 3D models",1.826,1.00000000000011
"Calculated depth buffer(s)",1.826,0
"Executed pixel shaders",1.928,102
"Calculated linear depth",1.928,0
"Rasterized image",1.931,3.00000000000011
"Assembled output",1.945,14
"Clamped output",1.952,6.9999999999999
"Display/save image",1.952,0
