"label","seconds","interval_ms"
"Validating Mesh",0.938,NA
"Pre-processing scene",0.938,0
"Pre-processed  scene",0.938,0
"Removed duplicate materials",0.938,0
"Processed scene bounds",0.938,0
"Processed texture filenames",0.938,0
"Processed materials",0.938,0
"Loaded environment maps",0.938,0
"Initialized buffers",0.941,3
"Initialized shadowmaps",0.941,0
"Initialized alpha buffers",0.941,0
"Initialized shaders",0.941,0
"Initialized 3D models",0.941,0
"Calculated depth buffer(s)",0.942,1
"Executed pixel shaders",0.943,1
"Calculated linear depth",0.943,0
"Rasterized image",0.944,1
"Assembled output",0.956,12
"Clamped output",0.961,5
"Display/save image",0.961,0
