key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008666,0.008666,1
alpha16-800-800-1-1,frame_allocate_clear,2.480459,2.480459,1
alpha16-800-800-1-1,lights_shadow_allocate,0.00275,0.00275,1
alpha16-800-800-1-1,shadow_alpha_allocate,0.001333,0.001333,1
alpha16-800-800-1-1,shader_setup_asset_decode,0.017708,0.017708,1
alpha16-800-800-1-1,model_setup,0.010292,0.010292,1
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.5285,0.5285,1
alpha16-800-800-1-1,shadow_finalize,0.000167,0.000167,1
alpha16-800-800-1-1,indexed_main_transforms,0.001,0.001,1
alpha16-800-800-1-1,main_transform_setup,0.121833,0.121833,1
alpha16-800-800-1-1,main_bin_build,1.310458,1.310458,1
alpha16-800-800-1-1,count_main_bin_workers,1.0,1.0,1
alpha16-800-800-1-1,count_main_bin_scratch_bytes,320008.0,320008.0,1
alpha16-800-800-1-1,main_coverage_depth_shading,179.114375,179.114375,1
alpha16-800-800-1-1,count_main_schedule_scratch_bytes,320000.0,320000.0,1
alpha16-800-800-1-1,count_main_macrotiles,0.0,0.0,1
alpha16-800-800-1-1,count_main_macrotile_edge,0.0,0.0,1
alpha16-800-800-1-1,lines,0.010667,0.010667,1
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,1
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,1
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,1
alpha16-800-800-1-1,transparency_resolve,140.453625,140.453625,1
alpha16-800-800-1-1,depth_conversion,0.006125,0.006125,1
alpha16-800-800-1-1,remaining_output_setup,0.009583,0.009583,1
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,1
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,1
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,1
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,1
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,1
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,1
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,1
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,1
alpha16-800-800-1-1,count_models,1.0,1.0,1
alpha16-800-800-1-1,count_materials,2.0,2.0,1
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,1
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,1
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,1
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,1
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,1
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,1
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,1
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,1
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,1
alpha16-800-800-1-1,count_coverage_block_tests,552942.0,552942.0,1
alpha16-800-800-1-1,count_coverage_rejected_blocks,261718.0,261718.0,1
alpha16-800-800-1-1,count_coverage_full_blocks,257967.0,257967.0,1
alpha16-800-800-1-1,count_coverage_edge_samples,861165.0,861165.0,1
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,1
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,1
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,1
alpha16-800-800-1-1,count_visibility_tiles,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_fallbacks,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,1
alpha16-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,1
alpha16-800-800-1-1,native_output_assembly,0.653,0.653,1
alpha16-800-800-1-1,native_teardown,0.602167,0.602167,1
alpha16-800-800-1-1,native_total,325.332708,325.332708,1
alpha16-800-800-1-4,environment_decode,0.009416,0.009416,1
alpha16-800-800-1-4,frame_allocate_clear,2.585084,2.585084,1
alpha16-800-800-1-4,lights_shadow_allocate,0.003125,0.003125,1
alpha16-800-800-1-4,shadow_alpha_allocate,0.001375,0.001375,1
alpha16-800-800-1-4,shader_setup_asset_decode,0.017083,0.017083,1
alpha16-800-800-1-4,model_setup,0.009583,0.009583,1
alpha16-800-800-1-4,bin_and_shadow_shader_allocate,0.673542,0.673542,1
alpha16-800-800-1-4,shadow_finalize,0.000125,0.000125,1
alpha16-800-800-1-4,indexed_main_transforms,0.003667,0.003667,1
alpha16-800-800-1-4,main_transform_setup,0.126791,0.126791,1
alpha16-800-800-1-4,main_bin_build,1.329959,1.329959,1
alpha16-800-800-1-4,count_main_bin_workers,1.0,1.0,1
alpha16-800-800-1-4,count_main_bin_scratch_bytes,320008.0,320008.0,1
alpha16-800-800-1-4,main_coverage_depth_shading,46.69675,46.69675,1
alpha16-800-800-1-4,count_main_schedule_scratch_bytes,320000.0,320000.0,1
alpha16-800-800-1-4,count_main_macrotiles,0.0,0.0,1
alpha16-800-800-1-4,count_main_macrotile_edge,0.0,0.0,1
alpha16-800-800-1-4,lines,0.011541,0.011541,1
alpha16-800-800-1-4,count_fragment_capacity_bytes,265364472.0,265364472.0,1
alpha16-800-800-1-4,count_maximum_layers_per_sample,33.0,33.0,1
alpha16-800-800-1-4,count_transparent_touched_samples,301234.0,301234.0,1
alpha16-800-800-1-4,transparency_resolve,42.636,42.636,1
alpha16-800-800-1-4,depth_conversion,0.006292,0.006292,1
alpha16-800-800-1-4,remaining_output_setup,0.008583,0.008583,1
alpha16-800-800-1-4,count_outline_scratch_payload_bytes,0.0,0.0,1
