case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,411,339.0,339.0,2.949852507374631,322.0,329.2,1052393472,132167784,326.0,1,
alpha16,800,800,1,4,3,185,109.0,113.5,9.174311926605505,94.0000000000001,94.9,1053589504,132167784,94.9999999999997,1,
alpha4,800,800,1,1,3,175,104.0,104.0,9.615384615384615,87.0,87.0,503939072,132156768,89.0,1,
alpha4,800,800,1,4,3,122,44.0,44.9,22.727272727272727,27.0000000000001,27.90000000000001,528154624,132156768,30.0,1,
grid100k,1920,1080,2,4,3,1407,1196.0,1222.1,0.8361204013377926,101.000000000001,105.5000000000001,3159474176,2610100608,105.0,1,1858879488
grid100k,800,800,1,1,3,138,59.0,62.59999999999991,16.949152542372882,38.0,38.0,615596032,147386960,38.0,1,
grid100k,800,800,1,4,3,127,46.9999999999999,46.99999999999999,21.276595744680897,22.0,23.8,552091648,147386960,24.0,1,
grid1m,800,800,1,1,3,314,279.0,282.6,3.5842293906810037,218.0,219.8000000000009,1287438336,284657152,223.0,1,
grid1m,800,800,1,4,3,257,224.0,234.8,4.464285714285714,165.0,165.9,1301610496,284657152,162.999999999999,1,
shadow,800,800,1,1,3,109,37.0,37.9,27.027027027027028,18.9999999999999,19.000000000000078,414384128,135961152,20.0,1,
shadow,800,800,1,4,3,104,27.0,27.0,37.03703703703704,9.00000000000012,9.900000000000013,444563456,135961152,10.0,1,
slivers,800,800,1,1,3,123,48.0,48.0,20.833333333333332,32.9999999999999,32.9999999999999,466599936,135368656,36.0,1,
slivers,800,800,1,4,3,110,30.0,39.0,33.333333333333336,14.9999999999999,14.9999999999999,448839680,135368656,15.0000000000001,1,223838208
small,800,800,1,1,3,97,21.0,22.8,47.61904761904762,8.00000000000001,8.00000000000001,441122816,134507736,7.99999999999979,1,
small,800,800,1,4,3,93,20.0,21.8,50.0,5.0,5.0,453656576,134507736,7.00000000000012,1,
