"label","seconds","interval_ms"
"Validating Mesh",1.275,NA
"Pre-processing scene",1.276,1.00000000000011
"Pre-processed  scene",1.276,0
"Removed duplicate materials",1.277,0.99999999999989
"Processed scene bounds",1.278,1.00000000000011
"Processed texture filenames",1.278,0
"Processed materials",1.28,2
"Loaded environment maps",1.28,0
"Initialized buffers",1.282,2
"Initialized shadowmaps",1.282,0
"Initialized alpha buffers",1.282,0
"Initialized shaders",1.284,2
"Initialized 3D models",1.285,0.99999999999989
"Calculated depth buffer(s)",1.285,0
"Executed pixel shaders",1.316,31.0000000000001
"Calculated linear depth",1.316,0
"Rasterized image",1.317,0.99999999999989
"Assembled output",1.331,14
"Clamped output",1.338,7.00000000000012
"Display/save image",1.338,0
