"label","seconds","interval_ms"
"Validating Mesh",1.435,NA
"Pre-processing scene",1.436,0.99999999999989
"Pre-processed  scene",1.436,0
"Removed duplicate materials",1.436,0
"Processed scene bounds",1.436,0
"Processed texture filenames",1.436,0
"Processed materials",1.436,0
"Loaded environment maps",1.436,0
"Initialized buffers",1.438,2
"Initialized shadowmaps",1.438,0
"Initialized alpha buffers",1.438,0
"Initialized shaders",1.438,0
"Initialized 3D models",1.438,0
"Calculated depth buffer(s)",1.439,1.00000000000011
"Executed pixel shaders",1.49,50.9999999999999
"Calculated linear depth",1.521,30.9999999999999
"Rasterized image",1.522,1.00000000000011
"Assembled output",1.534,12
"Clamped output",1.538,4
"Display/save image",1.538,0
