"label","seconds","interval_ms"
"Validating Mesh",3.277,NA
"Pre-processing scene",3.278,0.99999999999989
"Pre-processed  scene",3.278,0
"Removed duplicate materials",3.279,0.99999999999989
"Processed scene bounds",3.28,0.99999999999989
"Processed texture filenames",3.281,1.00000000000033
"Processed materials",3.283,1.99999999999978
"Loaded environment maps",3.283,0
"Initialized buffers",3.29,7.00000000000012
"Initialized shadowmaps",3.29,0
"Initialized alpha buffers",3.29,0
"Initialized shaders",3.291,0.99999999999989
"Initialized 3D models",3.292,0.99999999999989
"Calculated depth buffer(s)",3.293,1.00000000000033
"Executed pixel shaders",3.653,360
"Calculated linear depth",3.653,0
"Rasterized image",3.654,0.99999999999989
"Assembled output",3.668,14.0000000000002
"Clamped output",3.674,5.99999999999978
"Display/save image",3.674,0
