key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008542,0.024366699999999998,3
alpha16-800-800-1-1,frame_allocate_clear,2.388375,2.4598125,3
alpha16-800-800-1-1,lights_shadow_allocate,0.00325,0.0033256,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001375,0.001375,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.02,0.0225875,3
alpha16-800-800-1-1,model_setup,0.009417,0.0097167,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.547708,0.5531827,3
alpha16-800-800-1-1,shadow_finalize,0.000125,0.000125,3
alpha16-800-800-1-1,indexed_main_transforms,0.001375,0.001375,3
alpha16-800-800-1-1,main_transform_setup,0.12125,0.122375,3
alpha16-800-800-1-1,main_bin_build,1.310541,1.3149285,3
alpha16-800-800-1-1,count_main_bin_workers,1.0,1.0,3
alpha16-800-800-1-1,count_main_bin_scratch_bytes,320008.0,320008.0,3
alpha16-800-800-1-1,main_coverage_depth_shading,168.709584,169.8446712,3
alpha16-800-800-1-1,count_main_schedule_scratch_bytes,320000.0,320000.0,3
alpha16-800-800-1-1,count_main_macrotiles,0.0,0.0,3
alpha16-800-800-1-1,count_main_macrotile_edge,0.0,0.0,3
alpha16-800-800-1-1,lines,0.013791,0.0139791,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,138.808375,139.1671753,3
alpha16-800-800-1-1,depth_conversion,0.00525,0.0054003,3
alpha16-800-800-1-1,remaining_output_setup,0.007959,0.0091956,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,36864.0,36864.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_uv_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_position_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_clip_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_block_tests,0.0,0.0,3
alpha16-800-800-1-1,count_coverage_rejected_blocks,0.0,0.0,3
alpha16-800-800-1-1,count_coverage_full_blocks,0.0,0.0,3
alpha16-800-800-1-1,count_coverage_edge_samples,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_visibility_tiles,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_fallbacks,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,native_output_assembly,0.65725,1.3568875,3
alpha16-800-800-1-1,native_teardown,0.289042,0.9086919999999999,3
alpha16-800-800-1-1,native_total,313.359167,313.83132950000004,3
alpha4-800-800-1-1,environment_decode,0.008167,0.0084667,3
alpha4-800-800-1-1,frame_allocate_clear,2.493875,2.4939875000000002,3
alpha4-800-800-1-1,lights_shadow_allocate,0.002708,0.0055961,3
alpha4-800-800-1-1,shadow_alpha_allocate,0.001166,0.0013172,3
alpha4-800-800-1-1,shader_setup_asset_decode,0.01925,0.0202247,3
alpha4-800-800-1-1,model_setup,0.009459,0.0094959,3
alpha4-800-800-1-1,bin_and_shadow_shader_allocate,0.514833,0.5653455,3
alpha4-800-800-1-1,shadow_finalize,0.000208,0.0002458,3
alpha4-800-800-1-1,indexed_main_transforms,0.001125,0.001125,3
alpha4-800-800-1-1,main_transform_setup,0.122792,0.1253417,3
alpha4-800-800-1-1,main_bin_build,0.374375,0.3911006,3
alpha4-800-800-1-1,count_main_bin_workers,1.0,1.0,3
alpha4-800-800-1-1,count_main_bin_scratch_bytes,320008.0,320008.0,3
alpha4-800-800-1-1,main_coverage_depth_shading,48.96825,49.484625,3
alpha4-800-800-1-1,count_main_schedule_scratch_bytes,320000.0,320000.0,3
alpha4-800-800-1-1,count_main_macrotiles,0.0,0.0,3
alpha4-800-800-1-1,count_main_macrotile_edge,0.0,0.0,3
alpha4-800-800-1-1,lines,0.009125,0.011224699999999999,3
alpha4-800-800-1-1,count_fragment_capacity_bytes,70733392.0,70733392.0,3
alpha4-800-800-1-1,count_maximum_layers_per_sample,9.0,9.0,3
alpha4-800-800-1-1,count_transparent_touched_samples,301240.0,301240.0,3
alpha4-800-800-1-1,transparency_resolve,31.054417,32.308754199999996,3
alpha4-800-800-1-1,depth_conversion,0.003375,0.0034497,3
alpha4-800-800-1-1,remaining_output_setup,0.004208,0.0060079999999999995,3
alpha4-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_payload_bytes,36864.0,36864.0,3
alpha4-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha4-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha4-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha4-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha4-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha4-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha4-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_uv_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_position_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_varying_clip_payload_bytes,0.0,0.0,3
alpha4-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_models,1.0,1.0,3
alpha4-800-800-1-1,count_materials,2.0,2.0,3
alpha4-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha4-800-800-1-1,count_main_active_blocks,19257.0,19257.0,3
alpha4-800-800-1-1,count_main_bin_references,169849.0,169849.0,3
alpha4-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha4-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha4-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha4-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha4-800-800-1-1,count_main_setup_bin_capacity_bytes,1093612.0,1093612.0,3
alpha4-800-800-1-1,count_coverage_block_tests,0.0,0.0,3
alpha4-800-800-1-1,count_coverage_rejected_blocks,0.0,0.0,3
alpha4-800-800-1-1,count_coverage_full_blocks,0.0,0.0,3
alpha4-800-800-1-1,count_coverage_edge_samples,2487757.0,2487757.0,3
alpha4-800-800-1-1,count_coverage_candidates,2487757.0,2487757.0,3
alpha4-800-800-1-1,count_covered_samples,1191100.0,1191100.0,3
alpha4-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha4-800-800-1-1,count_shader_calls,1191100.0,1191100.0,3
