"label","seconds","interval_ms"
"Validating Mesh",2.098,NA
"Pre-processing scene",2.098,0
"Pre-processed  scene",2.098,0
"Removed duplicate materials",2.098,0
"Processed scene bounds",2.098,0
"Processed texture filenames",2.098,0
"Processed materials",2.099,1.00000000000033
"Loaded environment maps",2.1,0.99999999999989
"Initialized buffers",2.103,3.00000000000011
"Initialized shadowmaps",2.103,0
"Initialized alpha buffers",2.103,0
"Initialized shaders",2.103,0
"Initialized 3D models",2.103,0
"Calculated depth buffer(s)",2.103,0
"Executed pixel shaders",2.133,29.9999999999998
"Blurred environment map",2.15,16.9999999999999
"Calculated linear depth",2.15,0
"Rasterized image",2.151,0.99999999999989
"Display/save image",2.311,160
