"label","seconds","interval_ms"
"Validating Mesh",1.754,NA
"Pre-processing scene",1.754,0
"Pre-processed  scene",1.754,0
"Removed duplicate materials",1.754,0
"Processed scene bounds",1.754,0
"Processed texture filenames",1.754,0
"Processed materials",1.754,0
"Loaded environment maps",1.754,0
"Initialized buffers",1.757,2.99999999999989
"Initialized shadowmaps",1.757,0
"Initialized alpha buffers",1.757,0
"Initialized shaders",1.757,0
"Initialized 3D models",1.757,0
"Calculated depth buffer(s)",1.757,0
"Executed pixel shaders",1.762,5.00000000000012
"Calculated linear depth",1.762,0
"Rasterized image",1.763,0.99999999999989
"Display/save image",1.92,157
