"label","seconds","interval_ms"
"Validating Mesh",3.595,NA
"Pre-processing scene",3.605,9.99999999999979
"Pre-processed  scene",3.605,0
"Removed duplicate materials",3.613,8.00000000000001
"Processed scene bounds",3.617,4
"Processed texture filenames",3.62,3.00000000000011
"Processed materials",3.634,13.9999999999998
"Loaded environment maps",3.634,0
"Initialized buffers",3.637,3.00000000000011
"Initialized shadowmaps",3.637,0
"Initialized alpha buffers",3.637,0
"Initialized shaders",3.644,7.00000000000012
"Initialized 3D models",3.65,5.99999999999978
"Calculated depth buffer(s)",3.651,0.99999999999989
"Executed pixel shaders",3.774,123
"Calculated linear depth",3.774,0
"Rasterized image",3.778,4
"Assembled output",3.791,12.9999999999999
"Clamped output",3.799,8.00000000000001
"Display/save image",3.799,0
