"label","seconds","interval_ms"
"Validating Mesh",1.691,NA
"Pre-processing scene",1.692,0.99999999999989
"Pre-processed  scene",1.692,0
"Removed duplicate materials",1.693,1.00000000000011
"Processed scene bounds",1.693,0
"Processed texture filenames",1.694,0.99999999999989
"Processed materials",1.695,1.00000000000011
"Loaded environment maps",1.695,0
"Initialized buffers",1.698,2.99999999999989
"Initialized shadowmaps",1.698,0
"Initialized alpha buffers",1.698,0
"Initialized shaders",1.7,2
"Initialized 3D models",1.7,0
"Calculated depth buffer(s)",1.701,1.00000000000011
"Executed pixel shaders",1.801,99.9999999999999
"Calculated linear depth",1.801,0
"Rasterized image",1.802,1.00000000000011
"Assembled output",1.816,14
"Clamped output",1.822,6
"Display/save image",1.823,0.99999999999989
