"label","seconds","interval_ms"
"Validating Mesh",0.882,NA
"Pre-processing scene",0.882,0
"Pre-processed  scene",0.882,0
"Removed duplicate materials",0.882,0
"Processed scene bounds",0.882,0
"Processed texture filenames",0.882,0
"Processed materials",0.882,0
"Loaded environment maps",0.882,0
"Initialized buffers",0.885,3
"Initialized shadowmaps",0.885,0
"Initialized alpha buffers",0.885,0
"Initialized shaders",0.885,0
"Initialized 3D models",0.885,0
"Calculated depth buffer(s)",0.886,1
"Executed pixel shaders",0.892,6
"Calculated linear depth",0.892,0
"Rasterized image",0.893,1
"Assembled output",0.906,13
"Clamped output",0.91,4
"Display/save image",0.91,0
