"label","seconds","interval_ms"
"Validating Mesh",1.276,NA
"Pre-processing scene",1.276,0
"Pre-processed  scene",1.276,0
"Removed duplicate materials",1.276,0
"Processed scene bounds",1.276,0
"Processed texture filenames",1.276,0
"Processed materials",1.277,0.99999999999989
"Loaded environment maps",1.277,0
"Initialized buffers",1.279,2
"Initialized shadowmaps",1.279,0
"Initialized alpha buffers",1.279,0
"Initialized shaders",1.279,0
"Initialized 3D models",1.279,0
"Calculated depth buffer(s)",1.28,1.00000000000011
"Executed pixel shaders",1.311,30.9999999999999
"Calculated linear depth",1.341,30
"Rasterized image",1.343,2
"Assembled output",1.354,11.0000000000001
"Clamped output",1.358,4
"Display/save image",1.358,0
