"label","seconds","interval_ms"
"Validating Mesh",0.868,NA
"Pre-processing scene",0.868,0
"Pre-processed  scene",0.869,1
"Removed duplicate materials",0.869,0
"Processed scene bounds",0.869,0
"Processed texture filenames",0.869,0
"Processed materials",0.869,0
"Loaded environment maps",0.869,0
"Initialized buffers",0.871,2
"Initialized shadowmaps",0.871,0
"Initialized alpha buffers",0.871,0
"Initialized shaders",0.872,1
"Initialized 3D models",0.872,0
"Calculated depth buffer(s)",0.872,0
"Executed pixel shaders",0.877,5
"Calculated linear depth",0.877,0
"Rasterized image",0.878,1
"Assembled output",0.891,13
"Clamped output",0.896,5
"Display/save image",0.896,0
