key,phase,median,p95,samples
alpha16-800-800-1-10,environment_decode,0.010708,0.010708,1
alpha16-800-800-1-10,frame_allocate_clear,2.683584,2.683584,1
alpha16-800-800-1-10,lights_shadow_allocate,0.002583,0.002583,1
alpha16-800-800-1-10,shadow_alpha_allocate,0.001125,0.001125,1
alpha16-800-800-1-10,shader_setup_asset_decode,0.017708,0.017708,1
alpha16-800-800-1-10,model_setup,0.0095,0.0095,1
alpha16-800-800-1-10,bin_and_shadow_shader_allocate,0.562917,0.562917,1
alpha16-800-800-1-10,shadow_finalize,0.000833,0.000833,1
alpha16-800-800-1-10,indexed_main_transforms,0.006375,0.006375,1
alpha16-800-800-1-10,main_transform_setup,0.124584,0.124584,1
alpha16-800-800-1-10,main_bin_build,1.360791,1.360791,1
alpha16-800-800-1-10,count_main_bin_workers,1.0,1.0,1
alpha16-800-800-1-10,count_main_bin_scratch_bytes,320008.0,320008.0,1
alpha16-800-800-1-10,main_coverage_depth_shading,26.365834,26.365834,1
alpha16-800-800-1-10,count_main_schedule_scratch_bytes,263168.0,263168.0,1
alpha16-800-800-1-10,count_main_macrotiles,100.0,100.0,1
alpha16-800-800-1-10,count_main_macrotile_edge,64.0,64.0,1
alpha16-800-800-1-10,lines,0.013041,0.013041,1
alpha16-800-800-1-10,count_fragment_capacity_bytes,265364472.0,265364472.0,1
alpha16-800-800-1-10,count_maximum_layers_per_sample,33.0,33.0,1
alpha16-800-800-1-10,count_transparent_touched_samples,301234.0,301234.0,1
alpha16-800-800-1-10,transparency_resolve,24.239584,24.239584,1
alpha16-800-800-1-10,depth_conversion,0.005291,0.005291,1
alpha16-800-800-1-10,remaining_output_setup,0.006042,0.006042,1
alpha16-800-800-1-10,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha16-800-800-1-10,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha16-800-800-1-10,count_varying_payload_bytes,159744.0,159744.0,1
