"label","seconds","interval_ms"
"Validating Mesh",0.86,NA
"Pre-processing scene",0.86,0
"Pre-processed  scene",0.86,0
"Removed duplicate materials",0.86,0
"Processed scene bounds",0.86,0
"Processed texture filenames",0.861,1
"Processed materials",0.861,0
"Loaded environment maps",0.861,0
"Initialized buffers",0.863,2
"Initialized shadowmaps",0.863,0
"Initialized alpha buffers",0.863,0
"Initialized shaders",0.863,0
"Initialized 3D models",0.863,0
"Calculated depth buffer(s)",0.863,0
"Executed pixel shaders",0.865,2
"Calculated linear depth",0.865,0
"Rasterized image",0.866,1
"Assembled output",0.877,11
"Clamped output",0.882,5
"Display/save image",0.882,0
