"label","seconds","interval_ms"
"Validating Mesh",2.368,NA
"Pre-processing scene",2.369,1.00000000000033
"Pre-processed  scene",2.369,0
"Removed duplicate materials",2.37,0.99999999999989
"Processed scene bounds",2.37,0
"Processed texture filenames",2.37,0
"Processed materials",2.372,1.99999999999978
"Loaded environment maps",2.372,0
"Initialized buffers",2.381,8.9999999999999
"Initialized shadowmaps",2.381,0
"Initialized alpha buffers",2.381,0
"Initialized shaders",2.383,2.00000000000022
"Initialized 3D models",2.384,0.99999999999989
"Calculated depth buffer(s)",2.385,0.99999999999989
"Executed pixel shaders",2.408,23.0000000000001
"Calculated linear depth",2.409,0.99999999999989
"Rasterized image",2.413,4
"Assembled output",2.474,61.0000000000004
"Clamped output",2.491,16.9999999999999
"Display/save image",2.491,0
