"label","seconds","interval_ms"
"Validating Mesh",9.831,NA
"Pre-processing scene",9.831,0
"Pre-processed  scene",9.831,0
"Removed duplicate materials",9.832,1.00000000000122
"Processed scene bounds",9.832,0
"Processed texture filenames",9.832,0
"Processed materials",9.832,0
"Loaded environment maps",9.832,0
"Initialized buffers",9.865,32.9999999999995
"Initialized shadowmaps",9.865,0
"Initialized alpha buffers",9.865,0
"Initialized shaders",9.865,0
"Initialized 3D models",9.865,0
"Calculated depth buffer(s)",9.866,0.999999999999446
"Executed pixel shaders",9.878,12.0000000000005
"Calculated linear depth",9.88,2.00000000000067
"Rasterized image",9.889,8.99999999999856
"Assembled output",10.227,338.000000000001
"Applied FSAA",11.061,834
"Clamped output",11.077,16
"Display/save image",11.077,0
