"label","seconds","interval_ms"
"Validating Mesh",5.463,NA
"Pre-processing scene",5.464,1.00000000000033
"Pre-processed  scene",5.464,0
"Removed duplicate materials",5.464,0
"Processed scene bounds",5.464,0
"Processed texture filenames",5.464,0
"Processed materials",5.464,0
"Loaded environment maps",5.464,0
"Initialized buffers",5.475,10.9999999999992
"Initialized shadowmaps",5.475,0
"Initialized alpha buffers",5.475,0
"Initialized shaders",5.475,0
"Initialized 3D models",5.475,0
"Calculated depth buffer(s)",5.476,1.00000000000033
"Executed pixel shaders",5.483,6.99999999999967
"Calculated linear depth",5.484,1.00000000000033
"Rasterized image",5.487,3.00000000000011
"Applied FSAA",6.114,627
"Display/save image",6.157,43.0000000000001
