key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008667,0.009117,3
alpha16-800-800-1-1,frame_allocate_clear,2.742041,2.7679916,3
alpha16-800-800-1-1,lights_shadow_allocate,0.003,0.010462800000000001,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001375,0.0018997,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.02525,0.028437800000000003,3
alpha16-800-800-1-1,model_setup,0.01075,0.014612799999999999,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.532209,0.5486709,3
alpha16-800-800-1-1,shadow_finalize,0.000208,0.0005833,3
alpha16-800-800-1-1,indexed_main_transforms,0.001167,0.0035664,3
alpha16-800-800-1-1,main_transform_setup,0.135833,0.1786208,3
alpha16-800-800-1-1,main_bin_build,1.368292,1.4521792,3
alpha16-800-800-1-1,main_coverage_depth_shading,188.183834,189.265409,3
alpha16-800-800-1-1,lines,0.012166,0.012616,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,147.773667,148.26495450000002,3
alpha16-800-800-1-1,depth_conversion,0.00725,0.0076253,3
alpha16-800-800-1-1,remaining_output_setup,0.009375,0.0105,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_post_clip_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_main_clipped_triangles,0.0,0.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_visibility_tiles,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_fallbacks,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_coverage_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,count_visibility_shading_worker_ms,0.0,0.0,3
alpha16-800-800-1-1,native_output_assembly,0.66175,0.721375,3
alpha16-800-800-1-1,native_teardown,0.24275,0.4807999999999999,3
alpha16-800-800-1-1,native_total,341.666459,342.68327089999997,3
environment-800-800-1-1,environment_decode,1.987416,2.2091922,3
environment-800-800-1-1,frame_allocate_clear,2.108834,2.6120077999999998,3
environment-800-800-1-1,lights_shadow_allocate,0.006333,0.0066336,3
environment-800-800-1-1,shadow_alpha_allocate,0.001583,0.0018457999999999999,3
environment-800-800-1-1,shader_setup_asset_decode,0.029625,0.030038099999999998,3
environment-800-800-1-1,model_setup,0.011,0.0111881,3
environment-800-800-1-1,bin_and_shadow_shader_allocate,0.427417,0.5773417,3
environment-800-800-1-1,shadow_finalize,0.000208,0.00039519999999999996,3
environment-800-800-1-1,indexed_main_transforms,0.001334,0.004259,3
environment-800-800-1-1,main_transform_setup,0.155666,0.1649288,3
environment-800-800-1-1,main_bin_build,0.160459,0.2978206,3
environment-800-800-1-1,main_coverage_depth_shading,30.474417,30.627829199999997,3
environment-800-800-1-1,lines,0.011208,0.0116958,3
environment-800-800-1-1,count_fragment_capacity_bytes,2560000.0,2560000.0,3
environment-800-800-1-1,count_maximum_layers_per_sample,0.0,0.0,3
environment-800-800-1-1,count_transparent_touched_samples,0.0,0.0,3
environment-800-800-1-1,transparency_resolve,0.324709,0.3450715,3
environment-800-800-1-1,environment_fill,17.142291,17.6489163,3
environment-800-800-1-1,depth_conversion,0.019167,0.0246795,3
environment-800-800-1-1,remaining_output_setup,0.001125,0.00315,3
environment-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_varying_payload_bytes,299520.0,299520.0,3
environment-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_environment_variant_requests,2.0,2.0,3
environment-800-800-1-1,count_environment_resize_variants,2.0,2.0,3
environment-800-800-1-1,count_environment_variant_bytes,3145728.0,3145728.0,3
environment-800-800-1-1,count_texture_decodes,1.0,1.0,3
environment-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
environment-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_indexed_positions,0.0,0.0,3
environment-800-800-1-1,count_main_clip_transform_evaluations,2880.0,2880.0,3
environment-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
environment-800-800-1-1,count_input_triangles,960.0,960.0,3
environment-800-800-1-1,count_models,1.0,1.0,3
environment-800-800-1-1,count_materials,2.0,2.0,3
