"label","seconds","interval_ms"
"Validating Mesh",2.335,NA
"Pre-processing scene",2.336,0.99999999999989
"Pre-processed  scene",2.336,0
"Removed duplicate materials",2.337,1.00000000000033
"Processed scene bounds",2.337,0
"Processed texture filenames",2.338,0.99999999999989
"Processed materials",2.339,0.99999999999989
"Loaded environment maps",2.339,0
"Initialized buffers",2.342,3.00000000000011
"Initialized shadowmaps",2.342,0
"Initialized alpha buffers",2.342,0
"Initialized shaders",2.345,3.00000000000011
"Initialized 3D models",2.346,0.99999999999989
"Calculated depth buffer(s)",2.346,0
"Executed pixel shaders",2.377,30.9999999999997
"Calculated linear depth",2.378,1.00000000000033
"Rasterized image",2.379,0.99999999999989
"Display/save image",2.539,160
