"label","seconds","interval_ms"
"Validating Mesh",5.02,NA
"Pre-processing scene",5.031,11.0000000000001
"Pre-processed  scene",5.031,0
"Removed duplicate materials",5.039,8.00000000000001
"Processed scene bounds",5.043,4.00000000000045
"Processed texture filenames",5.046,3.00000000000011
"Processed materials",5.06,13.9999999999993
"Loaded environment maps",5.06,0
"Initialized buffers",5.063,3.00000000000011
"Initialized shadowmaps",5.063,0
"Initialized alpha buffers",5.063,0
"Initialized shaders",5.088,25.0000000000004
"Initialized 3D models",5.094,6.00000000000023
"Calculated depth buffer(s)",5.094,0
"Executed pixel shaders",5.278,183.999999999999
"Calculated linear depth",5.278,0
"Rasterized image",5.286,8.00000000000001
"Display/save image",5.418,132.000000000001
