"label","seconds","interval_ms"
"Validating Mesh",2.524,NA
"Pre-processing scene",2.525,0.99999999999989
"Pre-processed  scene",2.525,0
"Removed duplicate materials",2.525,0
"Processed scene bounds",2.525,0
"Processed texture filenames",2.525,0
"Processed materials",2.525,0
"Loaded environment maps",2.525,0
"Initialized buffers",2.531,6.00000000000023
"Initialized shadowmaps",2.531,0
"Initialized alpha buffers",2.531,0
"Initialized shaders",2.531,0
"Initialized 3D models",2.532,0.99999999999989
"Calculated depth buffer(s)",2.532,0
"Executed pixel shaders",2.547,15.0000000000001
"Calculated AO",2.637,89.9999999999999
"Calculated linear depth",2.638,0.99999999999989
"Rasterized image",2.638,0
"Display/save image",2.804,166
