"label","seconds","interval_ms"
"Validating Mesh",1.956,NA
"Pre-processing scene",1.956,0
"Pre-processed  scene",1.956,0
"Removed duplicate materials",1.956,0
"Processed scene bounds",1.956,0
"Processed texture filenames",1.957,1.00000000000011
"Processed materials",1.957,0
"Loaded environment maps",1.957,0
"Initialized buffers",1.96,2.99999999999989
"Initialized shadowmaps",1.96,0
"Initialized alpha buffers",1.96,0
"Initialized shaders",1.96,0
"Initialized 3D models",1.96,0
"Calculated depth buffer(s)",1.961,1.00000000000011
"Executed pixel shaders",1.975,14
"Calculated linear depth",1.975,0
"Rasterized image",1.976,0.99999999999989
"Display/save image",2.137,161
