"label","seconds","interval_ms"
"Validating Mesh",0.943,NA
"Pre-processing scene",0.944,1
"Pre-processed  scene",0.944,0
"Removed duplicate materials",0.944,0
"Processed scene bounds",0.944,0
"Processed texture filenames",0.944,0
"Processed materials",0.944,0
"Loaded environment maps",0.944,0
"Initialized buffers",0.944,0
"Initialized shadowmaps",0.944,0
"Initialized alpha buffers",0.944,0
"Initialized shaders",0.944,0
"Initialized 3D models",0.944,0
"Calculated depth buffer(s)",0.944,0
"Executed pixel shaders",0.967,23
"Calculated linear depth",0.998,31
"Rasterized image",0.998,0
"Assembled output",0.999,1
"Clamped output",0.999,0
"Display/save image",0.999,0
