"label","seconds","interval_ms"
"Validating Mesh",1.622,NA
"Pre-processing scene",1.622,0
"Pre-processed  scene",1.622,0
"Removed duplicate materials",1.622,0
"Processed scene bounds",1.622,0
"Processed texture filenames",1.622,0
"Processed materials",1.623,0.99999999999989
"Loaded environment maps",1.623,0
"Initialized buffers",1.63,6.9999999999999
"Initialized shadowmaps",1.63,0
"Initialized alpha buffers",1.63,0
"Initialized shaders",1.63,0
"Initialized 3D models",1.63,0
"Calculated depth buffer(s)",1.631,1.00000000000011
"Executed pixel shaders",1.633,2
"Calculated linear depth",1.634,0.99999999999989
"Rasterized image",1.636,2
"Assembled output",1.687,51.0000000000002
"Clamped output",1.705,18
"Display/save image",1.705,0
