"label","seconds","interval_ms"
"Validating Mesh",3.742,NA
"Pre-processing scene",3.752,9.99999999999979
"Pre-processed  scene",3.752,0
"Removed duplicate materials",3.76,8.00000000000001
"Processed scene bounds",3.764,4
"Processed texture filenames",3.767,3.00000000000011
"Processed materials",3.782,15.0000000000001
"Loaded environment maps",3.782,0
"Initialized buffers",3.784,1.99999999999978
"Initialized shadowmaps",3.784,0
"Initialized alpha buffers",3.784,0
"Initialized shaders",3.79,6.00000000000023
"Initialized 3D models",3.796,5.99999999999978
"Calculated depth buffer(s)",3.796,0
"Executed pixel shaders",3.954,158
"Calculated linear depth",3.954,0
"Rasterized image",3.959,4.99999999999989
"Assembled output",3.97,11.0000000000001
"Clamped output",3.978,8.00000000000001
"Display/save image",3.978,0
