"label","seconds","interval_ms"
"Validating Mesh",1.827,NA
"Pre-processing scene",1.827,0
"Pre-processed  scene",1.827,0
"Removed duplicate materials",1.827,0
"Processed scene bounds",1.827,0
"Processed texture filenames",1.827,0
"Processed materials",1.827,0
"Loaded environment maps",1.827,0
"Initialized buffers",1.831,4
"Initialized shadowmaps",1.831,0
"Initialized alpha buffers",1.831,0
"Initialized shaders",1.831,0
"Initialized 3D models",1.831,0
"Calculated depth buffer(s)",1.831,0
"Executed pixel shaders",1.843,12
"Calculated linear depth",1.855,12
"Applied toon outline JFA pass",1.967,112
"Rasterized image",1.968,0.99999999999989
"Assembled output",1.984,16
"Clamped output",1.99,6
"Display/save image",1.99,0
