case,width,height,fsaa,cores,samples,cold_ms,warm_median_ms,warm_p95_ms,fps,native_median_ms,native_p95_ms,peak_rss_bytes,R_allocation_bytes,profiled_native_median_ms,profiled_native_samples,single_render_peak_rss_bytes
alpha16,800,800,1,1,3,414,343.0,343.9,2.9154518950437316,329.0,331.7,1077919744,132167784,331.0,3,386859008
environment,800,800,1,1,3,150,77.0,77.90000000000009,12.987012987012987,50.0,52.69999999999991,431783936,112775784,51.0000000000002,3,195723264
grid100k,800,800,1,1,3,134,61.0000000000001,65.49999999999991,16.393442622950793,34.0,34.0,489242624,147386960,36.0,3,305086464
grid1m,800,800,1,1,3,316,276.0,284.1,3.6231884057971016,215.999999999999,224.9999999999999,1246232576,284657152,218.999999999999,3,989560832
point_lights,800,800,1,1,3,156,80.0,83.6,12.5,60.0000000000001,60.0000000000001,384647168,132815136,58.9999999999999,3,217006080
shadow,800,800,1,1,3,114,38.0,38.9,26.31578947368421,19.9999999999998,20.899999999999892,420511744,135961152,20.0,3,217268224
shared_textures,800,800,1,1,3,111,38.0,39.8,26.31578947368421,18.9999999999999,19.000000000000078,535478272,135928560,19.9999999999998,3,245596160
small,800,800,1,1,3,97,22.0,23.8,45.45454545454545,8.00000000000001,8.00000000000001,463454208,134507736,8.00000000000001,3,209502208
ssao,800,800,1,1,3,223,153.0,153.9,6.5359477124183005,107.0,107.9,606978048,194255712,108.0,3,266452992
toon,800,800,1,1,3,254,197.0,212.3,5.0761421319796955,144.0,144.9,518651904,171154656,142.0,3,323993600
