"label","seconds","interval_ms"
"Validating Mesh",1.217,NA
"Pre-processing scene",1.217,0
"Pre-processed  scene",1.217,0
"Removed duplicate materials",1.217,0
"Processed scene bounds",1.217,0
"Processed texture filenames",1.217,0
"Processed materials",1.218,0.99999999999989
"Loaded environment maps",1.22,2
"Initialized buffers",1.222,2
"Initialized shadowmaps",1.222,0
"Initialized alpha buffers",1.222,0
"Initialized shaders",1.222,0
"Initialized 3D models",1.222,0
"Calculated depth buffer(s)",1.222,0
"Executed pixel shaders",1.252,30
"Blurred environment map",1.268,16
"Calculated linear depth",1.268,0
"Rasterized image",1.269,0.99999999999989
"Assembled output",1.293,24
"Clamped output",1.295,2
"Display/save image",1.295,0
