"label","seconds","interval_ms"
"Validating Mesh",1.186,NA
"Pre-processing scene",1.186,0
"Pre-processed  scene",1.186,0
"Removed duplicate materials",1.186,0
"Processed scene bounds",1.186,0
"Processed texture filenames",1.186,0
"Processed materials",1.186,0
"Loaded environment maps",1.186,0
"Initialized buffers",1.189,3.00000000000011
"Initialized shadowmaps",1.189,0
"Initialized alpha buffers",1.189,0
"Initialized shaders",1.189,0
"Initialized 3D models",1.189,0
"Calculated depth buffer(s)",1.19,0.99999999999989
"Executed pixel shaders",1.205,15.0000000000001
"Calculated linear depth",1.205,0
"Rasterized image",1.206,0.99999999999989
"Assembled output",1.215,9.00000000000012
"Clamped output",1.217,2
"Display/save image",1.217,0
