"label","seconds","interval_ms"
"Validating Mesh",3.855,NA
"Pre-processing scene",3.865,10.0000000000002
"Pre-processed  scene",3.865,0
"Removed duplicate materials",3.872,6.99999999999967
"Processed scene bounds",3.877,4.99999999999989
"Processed texture filenames",3.88,3.00000000000011
"Processed materials",3.894,14.0000000000002
"Loaded environment maps",3.894,0
"Initialized buffers",3.897,2.99999999999967
"Initialized shadowmaps",3.897,0
"Initialized alpha buffers",3.897,0
"Initialized shaders",3.904,7.00000000000012
"Initialized 3D models",3.908,4
"Calculated depth buffer(s)",3.909,0.99999999999989
"Executed pixel shaders",4.09,181
"Calculated linear depth",4.09,0
"Rasterized image",4.095,4.99999999999989
"Assembled output",4.106,11.0000000000001
"Clamped output",4.113,7.00000000000056
"Display/save image",4.113,0
