"label","seconds","interval_ms"
"Validating Mesh",0.96,NA
"Pre-processing scene",0.96,0
"Pre-processed  scene",0.96,0
"Removed duplicate materials",0.96,0
"Processed scene bounds",0.96,0
"Processed texture filenames",0.96,0
"Processed materials",0.96,0
"Loaded environment maps",0.96,0
"Initialized buffers",0.963,3
"Initialized shadowmaps",0.963,0
"Initialized alpha buffers",0.963,0
"Initialized shaders",0.963,0
"Initialized 3D models",0.963,0
"Calculated depth buffer(s)",0.964,1
"Executed pixel shaders",0.979,15
"Calculated linear depth",0.979,0
"Rasterized image",0.98,1
"Assembled output",0.989,9.00000000000001
"Clamped output",0.991,2
"Display/save image",0.991,0
