"label","seconds","interval_ms"
"Validating Mesh",0.986,NA
"Pre-processing scene",0.986,0
"Pre-processed  scene",0.986,0
"Removed duplicate materials",0.986,0
"Processed scene bounds",0.986,0
"Processed texture filenames",0.986,0
"Processed materials",0.986,0
"Loaded environment maps",0.986,0
"Initialized buffers",0.989,3
"Initialized shadowmaps",0.989,0
"Initialized alpha buffers",0.989,0
"Initialized shaders",0.989,0
"Initialized 3D models",0.989,0
"Calculated depth buffer(s)",0.99,1
"Executed pixel shaders",1.006,16
"Calculated linear depth",1.006,0
"Rasterized image",1.007,0.99999999999989
"Assembled output",1.021,14
"Clamped output",1.025,4
"Display/save image",1.025,0
