"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"normal_shared",1,800,800,1,"warm",1,255
"normal_shared",1,800,800,1,"warm",2,260
"normal_shared",1,800,800,1,"warm",3,256
"normal_shared",1,800,800,1,"warm",4,260
"normal_shared",1,800,800,1,"warm",5,254
"normal_shared",1,800,800,1,"native",1,197
"normal_shared",1,800,800,1,"native",2,202
"normal_shared",1,800,800,1,"native",3,202.999999999999
"normal_shared",1,800,800,1,"native",4,205
"normal_shared",1,800,800,1,"native",5,214
