"label","seconds","interval_ms"
"Validating Mesh",3.821,NA
"Pre-processing scene",3.83,8.9999999999999
"Pre-processed  scene",3.83,0
"Removed duplicate materials",3.837,7.00000000000012
"Processed scene bounds",3.841,4
"Processed texture filenames",3.844,2.99999999999967
"Processed materials",3.858,14.0000000000002
"Loaded environment maps",3.858,0
"Initialized buffers",3.86,1.99999999999978
"Initialized shadowmaps",3.86,0
"Initialized alpha buffers",3.86,0
"Initialized shaders",3.865,5.00000000000034
"Initialized 3D models",3.87,4.99999999999989
"Calculated depth buffer(s)",3.87,0
"Executed pixel shaders",4.047,177
"Calculated linear depth",4.047,0
"Rasterized image",4.052,4.99999999999989
"Assembled output",4.064,12.0000000000005
"Clamped output",4.072,8.00000000000001
"Display/save image",4.072,0
