"label","seconds","interval_ms"
"Validating Mesh",0.935,NA
"Pre-processing scene",0.935,0
"Pre-processed  scene",0.935,0
"Removed duplicate materials",0.935,0
"Processed scene bounds",0.935,0
"Processed texture filenames",0.935,0
"Processed materials",0.935,0
"Loaded environment maps",0.936,1
"Initialized buffers",0.938,1.99999999999989
"Initialized shadowmaps",0.938,0
"Initialized alpha buffers",0.938,0
"Initialized shaders",0.938,0
"Initialized 3D models",0.938,0
"Calculated depth buffer(s)",0.939,1
"Executed pixel shaders",0.953,14
"Calculated linear depth",0.953,0
"Rasterized image",0.954,1
"Assembled output",0.967,13
"Clamped output",0.971,4
"Display/save image",0.971,0
