"label","seconds","interval_ms"
"Validating Mesh",3.86,NA
"Pre-processing scene",3.86,0
"Pre-processed  scene",3.86,0
"Removed duplicate materials",3.86,0
"Processed scene bounds",3.864,4
"Processed texture filenames",3.867,3.00000000000011
"Processed materials",3.883,16
"Loaded environment maps",3.883,0
"Initialized buffers",3.886,3.00000000000011
"Initialized shadowmaps",3.886,0
"Initialized alpha buffers",3.886,0
"Initialized shaders",3.892,5.99999999999978
"Initialized 3D models",3.897,4.99999999999989
"Calculated depth buffer(s)",3.897,0
"Executed pixel shaders",4.089,192.000000000001
"Calculated linear depth",4.089,0
"Rasterized image",4.094,4.99999999999989
"Assembled output",4.104,9.99999999999979
"Clamped output",4.111,6.99999999999967
"Display/save image",4.111,0
