"label","seconds","interval_ms"
"Validating Mesh",0.835,NA
"Pre-processing scene",0.835,0
"Pre-processed  scene",0.835,0
"Removed duplicate materials",0.835,0
"Processed scene bounds",0.835,0
"Processed texture filenames",0.835,0
"Processed materials",0.835,0
"Loaded environment maps",0.835,0
"Initialized buffers",0.838,3
"Initialized shadowmaps",0.838,0
"Initialized alpha buffers",0.838,0
"Initialized shaders",0.838,0
"Initialized 3D models",0.838,0
"Calculated depth buffer(s)",0.838,0
"Executed pixel shaders",0.842,4
"Calculated linear depth",0.842,0
"Rasterized image",0.843,1
"Assembled output",0.85,7.00000000000001
"Clamped output",0.852,2
"Display/save image",0.852,0
