"label","seconds","interval_ms"
"Validating Mesh",3.863,NA
"Pre-processing scene",3.872,8.9999999999999
"Pre-processed  scene",3.872,0
"Removed duplicate materials",3.88,8.00000000000001
"Processed scene bounds",3.884,4
"Processed texture filenames",3.887,3.00000000000011
"Processed materials",3.902,15.0000000000001
"Loaded environment maps",3.902,0
"Initialized buffers",3.905,2.99999999999967
"Initialized shadowmaps",3.905,0
"Initialized alpha buffers",3.905,0
"Initialized shaders",3.911,6.00000000000023
"Initialized 3D models",3.916,4.99999999999989
"Calculated depth buffer(s)",3.917,0.99999999999989
"Executed pixel shaders",4.119,202
"Calculated linear depth",4.119,0
"Rasterized image",4.124,4.99999999999989
"Assembled output",4.139,15.0000000000006
"Clamped output",4.147,8.00000000000001
"Display/save image",4.147,0
