"label","seconds","interval_ms"
"Validating Mesh",0.919,NA
"Pre-processing scene",0.919,0
"Pre-processed  scene",0.919,0
"Removed duplicate materials",0.919,0
"Processed scene bounds",0.919,0
"Processed texture filenames",0.919,0
"Processed materials",0.919,0
"Loaded environment maps",0.919,0
"Initialized buffers",0.922,3
"Initialized shadowmaps",0.922,0
"Initialized alpha buffers",0.922,0
"Initialized shaders",0.922,0
"Initialized 3D models",0.922,0
"Calculated depth buffer(s)",0.922,0
"Executed pixel shaders",0.927,5
"Calculated linear depth",0.927,0
"Rasterized image",0.928,1
"Assembled output",0.934,6
"Clamped output",0.936,2
"Display/save image",0.936,0
