key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.009625,0.0131872,3
alpha16-800-800-1-1,frame_allocate_clear,2.535417,2.5992792,3
alpha16-800-800-1-1,lights_shadow_allocate,0.003334,0.009633099999999999,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001458,0.0038583,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.019667,0.020342000000000002,3
alpha16-800-800-1-1,model_setup,0.009667,0.0136414,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.5455,0.6217372,3
alpha16-800-800-1-1,shadow_finalize,0.000208,0.0006958,3
alpha16-800-800-1-1,normal_cache_allocate,0.003584,0.008721199999999998,3
alpha16-800-800-1-1,indexed_main_transforms,0.000333,0.0006336,3
alpha16-800-800-1-1,main_transform_setup,0.118208,0.1318205,3
alpha16-800-800-1-1,count_normal_cache_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_normal_cache_hits,0.0,0.0,3
alpha16-800-800-1-1,count_normal_cache_misses,0.0,0.0,3
alpha16-800-800-1-1,count_geometric_normal_reuses,0.0,0.0,3
alpha16-800-800-1-1,main_bin_build,1.299875,2.5690999999999997,3
alpha16-800-800-1-1,count_main_bin_workers,1.0,1.0,3
alpha16-800-800-1-1,count_main_bin_scratch_bytes,320008.0,320008.0,3
alpha16-800-800-1-1,main_coverage_depth_shading,167.388625,167.9665753,3
alpha16-800-800-1-1,count_main_schedule_scratch_bytes,320000.0,320000.0,3
alpha16-800-800-1-1,count_main_macrotiles,0.0,0.0,3
alpha16-800-800-1-1,count_main_macrotile_edge,0.0,0.0,3
alpha16-800-800-1-1,lines,0.013208,0.014296099999999999,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,146.30925,149.4179625,3
alpha16-800-800-1-1,depth_conversion,0.006833,0.0091586,3
alpha16-800-800-1-1,remaining_output_setup,0.010292,0.0126914,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,36864.0,36864.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_uv_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_position_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_clip_payload_bytes,0.0,0.0,3
