"label","seconds","interval_ms"
"Validating Mesh",1.198,NA
"Pre-processing scene",1.199,1.00000000000011
"Pre-processed  scene",1.199,0
"Removed duplicate materials",1.199,0
"Processed scene bounds",1.199,0
"Processed texture filenames",1.199,0
"Processed materials",1.199,0
"Loaded environment maps",1.199,0
"Initialized buffers",1.202,2.99999999999989
"Initialized shadowmaps",1.202,0
"Initialized alpha buffers",1.202,0
"Initialized shaders",1.202,0
"Initialized 3D models",1.202,0
"Calculated depth buffer(s)",1.202,0
"Executed pixel shaders",1.242,40
"Calculated linear depth",1.242,0
"Rasterized image",1.243,1.00000000000011
"Assembled output",1.254,10.9999999999999
"Clamped output",1.257,2.99999999999989
"Display/save image",1.257,0
