"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent",1,800,800,1,"warm",1,60.0000000000001
"tangent",1,800,800,1,"warm",2,81
"tangent",1,800,800,1,"warm",3,59
"tangent",1,800,800,1,"warm",4,80.0000000000001
"tangent",1,800,800,1,"warm",5,58.9999999999999
"tangent",1,800,800,1,"native",1,44.9999999999999
"tangent",1,800,800,1,"native",2,46
"tangent",1,800,800,1,"native",3,44.9999999999999
"tangent",1,800,800,1,"native",4,44.9999999999999
"tangent",1,800,800,1,"native",5,45.0000000000001
