"case","cores","width","height","fsaa","regime","sample","elapsed_ms"
"tangent_overdraw",1,800,800,1,"warm",1,598
"tangent_overdraw",1,800,800,1,"warm",2,613
"tangent_overdraw",1,800,800,1,"warm",3,594
"tangent_overdraw",1,800,800,1,"warm",4,620
"tangent_overdraw",1,800,800,1,"warm",5,607
"tangent_overdraw",1,800,800,1,"native",1,592
"tangent_overdraw",1,800,800,1,"native",2,608
"tangent_overdraw",1,800,800,1,"native",3,593
"tangent_overdraw",1,800,800,1,"native",4,598
"tangent_overdraw",1,800,800,1,"native",5,598
