"label","seconds","interval_ms"
"Validating Mesh",6.518,NA
"Pre-processing scene",6.519,1.00000000000033
"Pre-processed  scene",6.519,0
"Removed duplicate materials",6.519,0
"Processed scene bounds",6.519,0
"Processed texture filenames",6.519,0
"Processed materials",6.519,0
"Loaded environment maps",6.519,0
"Initialized buffers",6.525,6.00000000000023
"Initialized shadowmaps",6.525,0
"Initialized alpha buffers",6.525,0
"Initialized shaders",6.525,0
"Initialized 3D models",6.525,0
"Calculated depth buffer(s)",6.529,3.99999999999956
"Executed pixel shaders",6.555,25.9999999999998
"Calculated linear depth",6.567,12.0000000000005
"Rasterized image",6.586,19.0000000000001
"Display/save image",6.966,380
