"label","seconds","interval_ms"
"Validating Mesh",5.606,NA
"Pre-processing scene",5.606,0
"Pre-processed  scene",5.606,0
"Removed duplicate materials",5.606,0
"Processed scene bounds",5.606,0
"Processed texture filenames",5.607,1.00000000000033
"Processed materials",5.607,0
"Loaded environment maps",5.607,0
"Initialized buffers",5.613,6.00000000000023
"Initialized shadowmaps",5.613,0
"Initialized alpha buffers",5.613,0
"Initialized shaders",5.613,0
"Initialized 3D models",5.613,0
"Calculated depth buffer(s)",5.617,3.99999999999956
"Executed pixel shaders",5.639,22.0000000000002
"Calculated linear depth",5.687,48
"Applied toon outline JFA pass",5.853,166
"Rasterized image",5.859,6.00000000000023
"Display/save image",6.105,246
