"label","seconds","interval_ms"
"Validating Mesh",8.695,NA
"Pre-processing scene",8.705,9.99999999999979
"Pre-processed  scene",8.705,0
"Removed duplicate materials",8.707,2.00000000000067
"Processed scene bounds",8.707,0
"Processed texture filenames",8.708,0.999999999999446
"Processed materials",8.71,2.00000000000067
"Loaded environment maps",8.71,0
"Initialized buffers",8.716,5.99999999999845
"Initialized shadowmaps",8.716,0
"Initialized alpha buffers",8.716,0
"Initialized shaders",8.802,86.0000000000003
"Initialized 3D models",8.809,6.99999999999967
"Calculated depth buffer(s)",8.832,23.0000000000015
"Executed pixel shaders",8.998,165.999999999999
"Calculated linear depth",9.019,21.0000000000008
"Rasterized image",9.193,174
"Display/save image",9.554,361.000000000001
