"label","seconds","interval_ms"
"Validating Mesh",5.47,NA
"Pre-processing scene",5.47,0
"Pre-processed  scene",5.47,0
"Removed duplicate materials",5.47,0
"Processed scene bounds",5.47,0
"Processed texture filenames",5.47,0
"Processed materials",5.471,1.00000000000033
"Loaded environment maps",5.471,0
"Initialized buffers",5.482,11.0000000000001
"Initialized shadowmaps",5.482,0
"Initialized alpha buffers",5.483,0.999999999999446
"Initialized shaders",5.487,4.00000000000045
"Initialized 3D models",5.487,0
"Calculated depth buffer(s)",5.516,28.9999999999999
"Executed pixel shaders",5.551,35.0000000000001
"Calculated linear depth",5.588,36.9999999999999
"Rasterized image",5.649,60.9999999999999
"Display/save image",5.951,302
