"label","seconds","interval_ms"
"Validating Mesh",5.441,NA
"Pre-processing scene",5.441,0
"Pre-processed  scene",5.441,0
"Removed duplicate materials",5.442,1.00000000000033
"Processed scene bounds",5.442,0
"Processed texture filenames",5.442,0
"Processed materials",5.442,0
"Loaded environment maps",5.442,0
"Initialized buffers",5.448,6.00000000000023
"Initialized shadowmaps",5.449,0.999999999999446
"Initialized alpha buffers",5.449,0
"Initialized shaders",5.449,0
"Initialized 3D models",5.449,0
"Calculated depth buffer(s)",5.452,3.00000000000011
"Executed pixel shaders",5.571,119
"Calculated linear depth",5.585,14.0000000000002
"Rasterized image",5.626,41.0000000000004
"Display/save image",5.937,311
