"label","seconds","interval_ms"
"Validating Mesh",5.12,NA
"Pre-processing scene",5.12,0
"Pre-processed  scene",5.12,0
"Removed duplicate materials",5.12,0
"Processed scene bounds",5.12,0
"Processed texture filenames",5.12,0
"Processed materials",5.12,0
"Loaded environment maps",5.12,0
"Initialized buffers",5.13,9.99999999999979
"Initialized shadowmaps",5.13,0
"Initialized alpha buffers",5.131,1.00000000000033
"Initialized shaders",5.131,0
"Initialized 3D models",5.131,0
"Calculated depth buffer(s)",5.135,3.99999999999956
"Executed pixel shaders",5.16,25.0000000000004
"Calculated linear depth",5.174,14.0000000000002
"Applied toon outline JFA pass",5.335,161
"Rasterized image",5.343,8.00000000000001
"Display/save image",5.569,226
