"case","cores","regime","sample","elapsed_ms"
"ssao",1,"warm",1,5618
"ssao",1,"warm",2,763
"ssao",1,"warm",3,853.999999999999
"ssao",1,"warm",4,882.999999999999
"ssao",1,"warm",5,988.999999999999
"ssao",1,"warm",6,873.000000000001
"ssao",1,"warm",7,847.000000000001
"ssao",1,"warm",8,879
"ssao",1,"warm",9,889.000000000001
"ssao",1,"warm",10,856.999999999999
"ssao",1,"native",1,582.000000000001
"ssao",1,"native",2,581
"ssao",1,"native",3,493.000000000002
"ssao",1,"native",4,664.000000000001
"ssao",1,"native",5,666
"ssao",1,"native",6,577.999999999999
"ssao",1,"native",7,532
"ssao",1,"native",8,756
"ssao",1,"native",9,620.000000000001
"ssao",1,"native",10,541
