"label","seconds","interval_ms"
"Validating Mesh",5.212,NA
"Pre-processing scene",5.212,0
"Pre-processed  scene",5.212,0
"Removed duplicate materials",5.212,0
"Processed scene bounds",5.212,0
"Processed texture filenames",5.212,0
"Processed materials",5.213,1.00000000000033
"Loaded environment maps",5.213,0
"Initialized buffers",5.221,8.00000000000001
"Initialized shadowmaps",5.221,0
"Initialized alpha buffers",5.221,0
"Initialized shaders",5.221,0
"Initialized 3D models",5.221,0
"Calculated depth buffer(s)",5.224,3.00000000000011
"Executed pixel shaders",5.234,9.99999999999979
"Calculated linear depth",5.246,12.0000000000005
"Applied toon outline JFA pass",5.361,114.999999999999
"Rasterized image",5.365,4.00000000000045
"Display/save image",5.544,178.999999999999
