"label","seconds","interval_ms"
"Validating Mesh",5.1,NA
"Pre-processing scene",5.106,6.00000000000023
"Pre-processed  scene",5.106,0
"Removed duplicate materials",5.111,4.99999999999989
"Processed scene bounds",5.113,2.00000000000067
"Processed texture filenames",5.114,0.999999999999446
"Processed materials",5.123,9.00000000000034
"Loaded environment maps",5.123,0
"Initialized buffers",5.13,6.99999999999967
"Initialized shadowmaps",5.13,0
"Initialized alpha buffers",5.13,0
"Initialized shaders",5.152,22.0000000000002
"Initialized 3D models",5.16,8.00000000000001
"Calculated depth buffer(s)",5.163,3.00000000000011
"Executed pixel shaders",5.324,161
"Calculated linear depth",5.337,12.9999999999999
"Rasterized image",5.346,9.00000000000034
"Display/save image",5.51,164
