key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008083,0.0084952,3
alpha16-800-800-1-1,frame_allocate_clear,2.361917,2.3662667,3
alpha16-800-800-1-1,lights_shadow_allocate,0.002542,0.0028417,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001125,0.0013122,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.017792,0.027842299999999997,3
alpha16-800-800-1-1,model_setup,0.008458,0.008795500000000001,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.429917,0.46220449999999996,3
alpha16-800-800-1-1,shadow_finalize,0.000125,0.0001628,3
alpha16-800-800-1-1,indexed_main_transforms,0.001167,0.0012039000000000002,3
alpha16-800-800-1-1,main_transform_setup,0.166875,0.1817997,3
alpha16-800-800-1-1,main_bin_build,1.304041,1.3707166,3
alpha16-800-800-1-1,main_coverage_depth_shading,180.860542,188.0788417,3
alpha16-800-800-1-1,lines,0.009875,0.0117875,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,265364472.0,265364472.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,transparency_resolve,139.148083,140.1811327,3
alpha16-800-800-1-1,depth_conversion,0.006209,0.007109,3
alpha16-800-800-1-1,remaining_output_setup,0.009833,0.0104702,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,159744.0,159744.0,3
alpha16-800-800-1-1,count_auxiliary_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_requests,0.0,0.0,3
alpha16-800-800-1-1,count_environment_resize_variants,0.0,0.0,3
alpha16-800-800-1-1,count_environment_variant_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_hits,0.0,0.0,3
alpha16-800-800-1-1,count_prepared_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
