key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.008334,0.0087831,3
alpha16-800-800-1-1,frame_allocate_clear,6.395625,6.4378125,3
alpha16-800-800-1-1,lights_shadow_allocate,0.002958,0.0032577,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001292,0.0014423,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.0395,0.042874999999999996,3
alpha16-800-800-1-1,model_setup,0.00875,0.0093125,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.270416,0.3006047,3
alpha16-800-800-1-1,shadow_finalize,0.000125,0.0001628,3
alpha16-800-800-1-1,indexed_main_transforms,0.001083,0.001083,3
alpha16-800-800-1-1,main_transform_setup,0.160042,0.16735450000000002,3
alpha16-800-800-1-1,main_bin_build,1.288875,1.3888874999999998,3
alpha16-800-800-1-1,main_coverage_depth_shading,236.98925,238.9887494,3
alpha16-800-800-1-1,lines,0.011292,0.0120039,3
alpha16-800-800-1-1,transparency_resolve,365.787167,368.3272667,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,602295936.0,602295936.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,depth_conversion,11.472458,11.527283299999999,3
alpha16-800-800-1-1,remaining_output_setup,0.010083,0.012296099999999999,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,245760.0,245760.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
