"label","seconds","interval_ms"
"Validating Mesh",1.947,NA
"Pre-processing scene",1.947,0
"Pre-processed  scene",1.947,0
"Removed duplicate materials",1.947,0
"Processed scene bounds",1.947,0
"Processed texture filenames",1.947,0
"Processed materials",1.947,0
"Loaded environment maps",1.947,0
"Initialized buffers",1.95,2.99999999999989
"Initialized shadowmaps",1.95,0
"Initialized alpha buffers",1.95,0
"Initialized shaders",1.95,0
"Initialized 3D models",1.95,0
"Calculated depth buffer(s)",1.95,0
"Executed pixel shaders",1.97,20
"Calculated linear depth",1.97,0
"Rasterized image",1.971,1.00000000000011
"Display/save image",2.104,133
