"label","seconds","interval_ms"
"Validating Mesh",1.905,NA
"Pre-processing scene",1.905,0
"Pre-processed  scene",1.905,0
"Removed duplicate materials",1.905,0
"Processed scene bounds",1.906,0.99999999999989
"Processed texture filenames",1.906,0
"Processed materials",1.906,0
"Loaded environment maps",1.906,0
"Initialized buffers",1.912,6
"Initialized shadowmaps",1.912,0
"Initialized alpha buffers",1.912,0
"Initialized shaders",1.913,1.00000000000011
"Initialized 3D models",1.913,0
"Calculated depth buffer(s)",1.913,0
"Executed pixel shaders",1.942,28.9999999999999
"Calculated linear depth",1.955,13.0000000000001
"Rasterized image",1.956,0.99999999999989
"Display/save image",2.1,144
