"label","seconds","interval_ms"
"Validating Mesh",2.034,NA
"Pre-processing scene",2.034,0
"Pre-processed  scene",2.034,0
"Removed duplicate materials",2.034,0
"Processed scene bounds",2.034,0
"Processed texture filenames",2.034,0
"Processed materials",2.035,1.00000000000033
"Loaded environment maps",2.035,0
"Initialized buffers",2.041,5.99999999999978
"Initialized shadowmaps",2.041,0
"Initialized alpha buffers",2.041,0
"Initialized shaders",2.041,0
"Initialized 3D models",2.041,0
"Calculated depth buffer(s)",2.042,0.99999999999989
"Executed pixel shaders",2.09,48
"Calculated linear depth",2.101,11.0000000000001
"Rasterized image",2.102,0.99999999999989
"Display/save image",2.26,158
