key,phase,median,p95,samples
alpha16-800-800-1-1,environment_decode,0.00775,0.0079003,3
alpha16-800-800-1-1,frame_allocate_clear,6.183167,6.5622542,3
alpha16-800-800-1-1,lights_shadow_allocate,0.003459,0.0036084000000000003,3
alpha16-800-800-1-1,shadow_alpha_allocate,0.001,0.0011125,3
alpha16-800-800-1-1,shader_setup_asset_decode,0.038375,0.0393119,3
alpha16-800-800-1-1,model_setup,0.008834,0.0095837,3
alpha16-800-800-1-1,bin_and_shadow_shader_allocate,0.262375,0.2646619,3
alpha16-800-800-1-1,shadow_finalize,8.4e-05,0.0001578,3
alpha16-800-800-1-1,indexed_main_transforms,0.001,0.0015624999999999999,3
alpha16-800-800-1-1,main_transform_setup,0.160417,0.1675414,3
alpha16-800-800-1-1,main_bin_build,1.287208,1.3437955,3
alpha16-800-800-1-1,main_coverage_depth_shading,451.0975,454.6880878,3
alpha16-800-800-1-1,lines,0.011667,0.0122295,3
alpha16-800-800-1-1,transparency_resolve,365.238625,365.4010372,3
alpha16-800-800-1-1,count_fragment_capacity_bytes,602295936.0,602295936.0,3
alpha16-800-800-1-1,count_maximum_layers_per_sample,33.0,33.0,3
alpha16-800-800-1-1,count_transparent_touched_samples,301234.0,301234.0,3
alpha16-800-800-1-1,depth_conversion,11.753917,14.728266699999999,3
alpha16-800-800-1-1,remaining_output_setup,0.010416,0.0107166,3
alpha16-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_matrix_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_varying_payload_bytes,245760.0,245760.0,3
alpha16-800-800-1-1,count_texture_decodes,0.0,0.0,3
alpha16-800-800-1-1,count_texture_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_indexed_positions,0.0,0.0,3
alpha16-800-800-1-1,count_main_clip_transform_evaluations,1536.0,1536.0,3
alpha16-800-800-1-1,count_indexed_transform_payload_bytes,0.0,0.0,3
alpha16-800-800-1-1,count_input_triangles,512.0,512.0,3
alpha16-800-800-1-1,count_models,1.0,1.0,3
alpha16-800-800-1-1,count_materials,2.0,2.0,3
alpha16-800-800-1-1,count_main_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_shadow_tasks,0.0,0.0,3
alpha16-800-800-1-1,count_main_active_blocks,19290.0,19290.0,3
alpha16-800-800-1-1,count_main_bin_references,600049.0,600049.0,3
alpha16-800-800-1-1,count_main_setup_count,512.0,512.0,3
alpha16-800-800-1-1,count_main_culled_primitives,0.0,0.0,3
alpha16-800-800-1-1,count_main_setup_bin_capacity_bytes,2814412.0,2814412.0,3
alpha16-800-800-1-1,count_coverage_candidates,9176125.0,9176125.0,3
alpha16-800-800-1-1,count_covered_samples,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_early_z_failures,0.0,0.0,3
alpha16-800-800-1-1,count_shader_calls,4498791.0,4498791.0,3
alpha16-800-800-1-1,count_transparent_fragments,4498791.0,4498791.0,3
alpha16-800-800-1-1,native_output_assembly,0.658125,1.3199625,3
alpha16-800-800-1-1,native_teardown,25.045,31.0138756,3
alpha16-800-800-1-1,native_total,861.722083,874.1331586,3
alpha4-800-800-1-1,environment_decode,0.007416,0.007866,3
alpha4-800-800-1-1,frame_allocate_clear,6.261334,6.5396212,3
alpha4-800-800-1-1,lights_shadow_allocate,0.003875,0.0039496999999999996,3
alpha4-800-800-1-1,shadow_alpha_allocate,0.00125,0.0012878,3
alpha4-800-800-1-1,shader_setup_asset_decode,0.038166,0.039066,3
alpha4-800-800-1-1,model_setup,0.008834,0.0089087,3
alpha4-800-800-1-1,bin_and_shadow_shader_allocate,0.259417,0.2627542,3
alpha4-800-800-1-1,shadow_finalize,8.3e-05,0.0001208,3
alpha4-800-800-1-1,indexed_main_transforms,0.001042,0.0011167,3
alpha4-800-800-1-1,main_transform_setup,0.159709,0.16023369999999998,3
alpha4-800-800-1-1,main_bin_build,0.369833,0.3817202,3
alpha4-800-800-1-1,main_coverage_depth_shading,121.420584,121.469634,3
alpha4-800-800-1-1,lines,0.010416,0.010641,3
alpha4-800-800-1-1,transparency_resolve,90.650542,93.1922923,3
alpha4-800-800-1-1,count_fragment_capacity_bytes,157424896.0,157424896.0,3
alpha4-800-800-1-1,count_maximum_layers_per_sample,9.0,9.0,3
alpha4-800-800-1-1,count_transparent_touched_samples,301240.0,301240.0,3
alpha4-800-800-1-1,depth_conversion,11.387,11.7432119,3
alpha4-800-800-1-1,remaining_output_setup,0.009209,0.0093206,3
alpha4-800-800-1-1,count_outline_scratch_payload_bytes,0.0,0.0,3
