"label","seconds","interval_ms"
"Validating Mesh",2.35,NA
"Pre-processing scene",2.35,0
"Pre-processed  scene",2.35,0
"Removed duplicate materials",2.35,0
"Processed scene bounds",2.351,0.99999999999989
"Processed texture filenames",2.351,0
"Processed materials",2.351,0
"Loaded environment maps",2.351,0
"Initialized buffers",2.353,2.00000000000022
"Initialized shadowmaps",2.353,0
"Initialized alpha buffers",2.353,0
"Initialized shaders",2.353,0
"Initialized 3D models",2.353,0
"Calculated depth buffer(s)",2.354,0.99999999999989
"Executed pixel shaders",2.407,52.9999999999999
"Calculated linear depth",2.438,31.0000000000001
"Rasterized image",2.438,0
"Display/save image",2.564,126
